,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
287,297,73228647,https://exofop.ipac.caltech.edu/tess/target.php?id=73228647,10,1570.1019999999553,2.540455,0.10166666666666667,397.0,0.04,0.19,1.01,9.4628,8.50,1,UC
289,300,73649615,https://exofop.ipac.caltech.edu/tess/target.php?id=73649615,10,1570.6450000000186,1.23938,0.04041666666666666,3400.0,0.34,0.23,0.45,12.5554,6.17,1,LOWSNR
290,301,73717937,https://exofop.ipac.caltech.edu/tess/target.php?id=73717937,11,1602.0890000001527,16.257799,0.2070833333333333,6613.0,0.66,0.8,1.09,11.7528,5.45,1,
291,302,73723286,https://exofop.ipac.caltech.edu/tess/target.php?id=73723286,9,1547.3030000003055,14.065992999999999,0.14333333333333334,16750.0,1.67,1.85,1.42,9.1116,4.44,1,
292,303,74482749,https://exofop.ipac.caltech.edu/tess/target.php?id=74482749,"8,9",1518.155999999959,1.25987,0.057499999999999996,4590.0,0.46,1.79,2.91,9.1103,5.85,0,sync
293,304,74534430,https://exofop.ipac.caltech.edu/tess/target.php?id=74534430,"8,9",1525.563000000082,18.155379999999997,0.17916666666666667,1032.0,0.1,0.19,0.61,9.8445,7.47,1,"Extra transit S9 @ 1545, check again S35 and S36, potential second planet"
296,307,77031413,https://exofop.ipac.caltech.edu/tess/target.php?id=77031413,2,1355.1949999998324,1.38665,0.09541666666666666,23490.0,2.35,1.34,0.93,11.4996,4.07,0,"LCMOD,pCO,FSCP"
297,308,77031414,https://exofop.ipac.caltech.edu/tess/target.php?id=77031414,2,1355.1959999999963,1.3866530000000001,0.09541666666666666,14261.0,1.43,1.09,1.0,10.9571,4.61,1,
298,309,77044471,https://exofop.ipac.caltech.edu/tess/target.php?id=77044471,2,1356.1030000001192,2.6860630000000003,0.10083333333333333,12457.0,1.25,1.25,1.24,13.2576,4.76,1,HATS-16 b
300,311,77156829,https://exofop.ipac.caltech.edu/tess/target.php?id=77156829,"4,5",1411.4739999999292,0.860233,0.02291666666666667,641.0,0.06,0.1,0.36,10.4276,7.98,1,SPR
